ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
3.550053066021569698e-02,7.908076990613578383e-01,1.200741672604283439e+00,1.204705978000876643e+00,1.202421331694284889e+00,1.203014994027017837e+00,1.200780415628005970e+00,1.203051948911183944e+00
3.546655600864363073e-02,7.906735885946259978e-01,1.202936315886535157e+00,1.205078507075131755e+00,1.203051352864665136e+00,1.203081751237124353e+00,1.201108241213350469e+00,1.203112745656102378e+00
3.548026507857621886e-02,7.907427299908077467e-01,1.200300002133846577e+00,1.204235697297536989e+00,1.202849293094789163e+00,1.203090691934906475e+00,1.201275730285135568e+00,1.203235531238976863e+00
3.544390624092891989e-02,7.906247127800837271e-01,1.199352884215460380e+00,1.201604151916998875e+00,1.202975058910257689e+00,1.203087711702312435e+00,1.198855781418774358e+00,1.203068638213710573e+00
3.547192042731290434e-02,7.909531344119470342e-01,1.202613854719859932e+00,1.205199504518449816e+00,1.195074462303455043e+00,1.203057313329853217e+00,1.202384972856637591e+00,1.203061485655484875e+00
3.547251647383171252e-02,7.903189409159351309e-01,1.202297950064891596e+00,1.204974198934340324e+00,1.192876242742090476e+00,1.203102016818763831e+00,1.199662828405240633e+00,1.203155064958937759e+00
3.547370856686932888e-02,7.910610188318513147e-01,1.202910089839707597e+00,1.205181623122885570e+00,1.200651669579943404e+00,1.203121686353884501e+00,1.202424907973397739e+00,1.203059697515928450e+00
3.545642321782389167e-02,7.903076160320777754e-01,1.202796244954615235e+00,1.205014730097619280e+00,1.193928860894305721e+00,1.200183177016160174e+00,1.202216291691814876e+00,1.202998304724491208e+00
3.547370856686932888e-02,7.911534060422665826e-01,1.202920222630527336e+00,1.204394841718058773e+00,1.192764185996554538e+00,1.203018570306130686e+00,1.201907539595072238e+00,1.203114533795658803e+00
3.552437252096802417e-02,7.896835553268856112e-01,1.202950621002986553e+00,1.205020094516288554e+00,1.202923798909640185e+00,1.203003669143160481e+00,1.202184105179799234e+00,1.203099036586169790e+00
3.553510135830657141e-02,7.904476869639976977e-01,1.202964330072919141e+00,1.205036187772296374e+00,1.203131223098185432e+00,1.202952409142542978e+00,1.193046115999950807e+00,1.203040027980807780e+00
3.552556461400564053e-02,7.893771874162182067e-01,1.203043604259920629e+00,1.204974198934340324e+00,1.203125262632997350e+00,1.203037643794732547e+00,1.195424937656514475e+00,1.203107977283951913e+00
3.551185554407305239e-02,7.906479585943172461e-01,1.202868366583391024e+00,1.205011153818506431e+00,1.202974462863738880e+00,1.203114533795658803e+00,1.192222975757476711e+00,1.203053737050740368e+00
3.552258438141159963e-02,7.896036850933653151e-01,1.202914858211858062e+00,1.205048108702672538e+00,1.203072214492823422e+00,1.203034067515619698e+00,1.193114661349613748e+00,1.202816510536254713e+00
