ch1,ch2,ch3,ch4,ch5,ch6,ch7
6.661164809604264159e-01,8.026362422271064029e-03,4.848912936319463296e-03,1.309827126243963934e-02,8.082167277594481600e-03,1.093447338753621330e-02,9.101481330571334002e-03
6.664419968655105331e-01,5.059019334199349287e-03,1.104980838892559783e-02,3.897473680671892371e-03,1.639202432537368963e-03,6.605983567951152421e-03,8.696616732670870917e-03
6.663361986084220812e-01,1.023396971630689128e-02,6.143376963541145180e-03,1.368373795553898351e-03,3.976151821154572975e-03,1.326352515977921023e-03,4.517585577676961131e-03
6.662982006428480597e-01,7.572174974939224062e-03,2.543777530643645448e-03,6.565452404672194459e-03,4.841387849019509158e-03,3.581867048962957250e-03,3.993884205089117193e-03
6.704136783377740993e-01,4.446656041938786864e-03,4.493594705294931893e-03,9.770245524674120441e-03,4.319549121802939914e-03,6.956458921010365629e-03,8.309559024519803938e-03
6.656872529610697864e-01,6.773025604847145685e-03,8.857474786934230182e-03,5.451590472649392796e-03,1.968816157438297177e-03,4.141852753383249569e-03,5.605370474501904926e-03
6.648737984745263230e-01,6.185025714042867613e-03,7.129759446353846515e-03,1.794919585576008111e-03,4.132539526526871759e-03,3.108308089769851006e-03,5.152524131837383364e-03
6.655282575521777044e-01,1.055158800501680358e-02,5.478561577625462933e-03,6.871149763005944024e-03,8.260608704162682170e-03,4.467517670097073158e-03,4.636794881438598831e-03
6.652310538567369758e-01,5.630702451551252569e-03,5.005002618432357123e-03,1.285746846884113295e-02,6.034449462228949450e-03,1.279682073555239719e-02,9.257347495239674762e-03
6.658589143584865422e-01,8.222759750218362751e-03,1.289941524260225687e-02,3.433153442520313348e-03,3.405809808469988098e-03,3.764406295347964490e-03,1.025460782702062451e-02
6.654090482484160685e-01,5.368367477460798953e-03,8.875505194128179356e-03,3.019646170097132955e-03,3.608167601605367751e-03,2.765357824010589334e-03,4.101470601733994518e-03
6.652225601938438482e-01,9.158180255672962108e-03,5.986318705835188062e-03,7.915795793032144936e-03,7.782579396078515011e-03,4.126728072968492006e-03,7.869751199454211310e-03
6.647656905371773783e-01,3.420934488884745661e-03,9.930135003344416848e-04,8.554608649564820338e-03,3.446266465934093304e-03,4.560798950290554168e-03,2.728104916585078095e-03
6.644565659113604861e-01,6.524548712318981383e-03,8.125678673467476992e-03,2.187937758915157321e-03,7.767976256367714171e-04,2.810359336180607778e-03,7.087291131888762835e-03
6.648279028925779821e-01,1.800842797856664138e-02,9.689108692301355227e-03,5.701482975659725658e-03,1.174621424033811708e-02,5.160570759841293792e-03,6.944836013893606122e-03
6.646076637038783597e-01,8.444936090104115251e-03,4.220381882236228129e-03,8.293763791771387173e-03,1.439809970833059484e-02,6.902516711058223620e-03,5.286485586939523515e-03
6.656217623498156266e-01,5.374178931019178707e-03,6.449968391653107883e-03,9.195209645653920280e-03,3.516599955153460258e-03,6.528721037950639509e-03,6.924570432254127141e-03
6.645902293432032204e-01,6.582737753717631674e-03,6.594807695723497315e-03,2.030804995394348313e-03,1.140460507924617338e-03,1.910552610224796732e-03,8.946807258940607868e-03
6.649946469062145704e-01,1.148544388835953146e-02,8.936897985565423613e-03,2.654642183141968630e-03,4.928485146580355303e-03,1.774877521381082630e-03,6.247610598517727362e-03
6.642092066060550914e-01,9.107590807389117846e-03,3.198758148998993595e-03,1.192443214946176458e-02,1.335956315512217864e-02,1.188628517225803934e-02,6.382317111768377738e-03
6.651083427796772307e-01,3.610998822569706605e-03,2.671256979853746643e-03,1.122459903056609830e-02,7.194281482014831981e-03,9.904057968146558547e-03,1.079604158354301180e-02
6.639487342773359169e-01,9.263382466242605848e-03,8.552522486748991709e-03,7.855893117891921780e-04,4.864186628363922904e-03,1.566037722353663805e-03,4.161522288503919503e-03
6.652297872578843974e-01,8.844734292594705338e-03,7.256419331600586463e-03,5.874485477743801587e-03,7.839650850254398229e-03,5.414710094298135802e-03,5.846024256470711000e-03
6.645415025402906517e-01,8.370430275253089303e-03,7.118658079941044166e-03,3.830343941491120251e-03,5.316958465213593443e-03,2.367869301780379208e-03,4.360676331600706057e-03
6.651860523445668472e-01,4.018024089100848475e-03,2.850368958755607283e-03,1.227446046763187165e-02,4.959852094632637501e-03,1.167543371622964225e-02,8.646474319276132789e-03
6.638356344503920647e-01,7.897616374208495452e-03,1.122139528052750607e-02,2.358258051664596875e-03,9.592623662069280684e-04,2.942234628466919408e-04,6.135702864611489865e-03
6.648585247824817523e-01,6.497354089898358179e-03,3.799647545772498122e-03,3.762543649976688494e-03,5.027577880332216934e-03,2.104342234652308800e-03,3.854632837132553579e-03
6.638211058164961154e-01,5.899072396644639872e-03,7.202104592574190209e-03,5.343855064374811691e-03,8.179844400864172069e-03,3.380701348865193523e-03,6.439463071759113713e-03
6.652399200487041364e-01,5.584806869603022722e-03,3.761351556939072568e-03,1.207001651168066424e-02,5.181208870555027886e-03,6.981492874800309181e-03,6.358400745201199522e-03
6.642127083793530895e-01,6.592945050352221753e-03,7.744953959578746924e-03,1.970678802809572468e-04,9.471179183862111876e-04,1.923889151083129755e-03,3.269017132403508660e-03
6.656788338039915098e-01,1.145534353915972012e-02,1.339756112069620010e-02,7.514060439355425662e-03,6.146655219394591037e-03,2.689585410307098606e-03,4.923642268615038842e-03
6.643208908225167741e-01,6.731600371789977187e-03,2.527982297895228683e-03,5.712286318813123917e-03,7.040426974347468829e-03,7.941202275896343601e-03,5.662665446122341212e-03
6.653488475500163313e-01,6.197393679308138212e-03,7.212609912468184378e-03,9.014682056269891081e-03,5.255491167961498164e-03,6.934479705629313998e-03,9.124727144804851281e-03
6.638292269503148768e-01,8.672774871918543724e-03,1.074180135033146744e-02,2.909228552487916342e-03,1.084655652601200634e-03,3.231615213348294942e-03,6.550476735887138940e-03
6.651436585359166154e-01,7.060171015282990653e-03,7.587225149539130603e-03,5.017221572067924809e-03,4.562959618921234688e-03,2.495497762620182448e-03,6.067157514948548318e-03
6.638345168631692994e-01,7.108152760047049129e-03,2.784282300982749911e-03,8.291156088251601386e-03,1.007184506319106290e-02,6.548539584701011489e-03,6.030053619152739991e-03
6.653186726950016672e-01,4.172921678176125942e-03,2.793595527839127721e-03,8.696318709411466827e-03,2.689436398677396561e-03,8.278490099726927565e-03,6.041602020454646740e-03
6.638511316598810774e-01,1.181043825273969845e-02,1.488365410371471700e-02,1.982525227370885313e-03,2.914145936268083825e-03,1.553446239643840789e-03,7.814616896464454676e-03
