ch1,ch2,ch3,ch4,ch5,ch6,ch7
2.447648340183283810e-01,5.091812703381437544e-03,1.710574971085243590e-02,6.491329462055595023e-02,1.128640963892557636e-02,3.636924859316081893e-02,3.378223373117239525e-02
2.999096274268182594e-01,2.390108206448604555e-02,7.340123546699217627e-03,1.270796422422226790e-02,4.139748767607764890e-02,2.330216049776367981e-02,1.412342744783923187e-02
3.263087661634400671e-01,5.822991149033951430e-03,5.405348131873388695e-02,3.718759475167421336e-02,2.469691870152468383e-02,2.862604800375834202e-02,1.869966224988872661e-02
2.313165940423707045e-01,3.535590406294164545e-02,1.142818923753274873e-02,8.690610687455135874e-03,3.056199307222229322e-03,2.315132099207062311e-02,2.891014948643388927e-02
1.454861337526003329e-01,1.315078705126171421e-02,6.106537256599331442e-02,3.288652307195394364e-02,4.085508534396176117e-02,2.339514375469775587e-02,3.468584025368515178e-02
3.059702284300589437e-01,6.357155417028326205e-02,2.076070696418419459e-02,2.347325156047141981e-02,5.943266324217555407e-02,1.139791942412671233e-02,1.476954187422774289e-02
1.466949160927428775e-01,4.846296701153351982e-02,9.111573800597128070e-03,1.951311848951120531e-02,1.929077677593449280e-02,2.505334517002211214e-02,6.410192804990733073e-02
5.458522493663164887e-02,7.072053611686857089e-02,1.220066552590814979e-02,5.466686227276751353e-03,5.340249567295174415e-03,3.118364387952965444e-02,3.846954355507947731e-02
2.824945786588874963e-01,3.223262030438678316e-02,1.765896502805119894e-03,1.236225724331263542e-02,2.085176417275969030e-02,3.782113844010837056e-04,1.217316323830019975e-02
2.838831286291048084e-01,4.928908748660165706e-02,3.799837228811675516e-02,1.156077803255994851e-03,1.788702878820735975e-02,4.745873381202159180e-02,9.696554891091424544e-02
2.693744026868822861e-01,2.503953091540966902e-02,4.242252406781332752e-03,5.153920283153889947e-02,1.272267137988336572e-04,8.569638955947311842e-03,1.097447862741616209e-01
5.289245282321641817e-02,4.390440323568856051e-02,3.530185783702854962e-02,1.329158492619098020e-02,8.855731935225819029e-03,4.440339935661086201e-02,5.068611300457148694e-02
1.884062514789401899e-01,1.621088987882290944e-02,1.737516273735373318e-02,3.087614932406990143e-02,9.238393800300670478e-03,4.393737045177203981e-03,8.946370742519405006e-02
1.154081959018944392e-01,5.129299588283475764e-02,2.169053953352495512e-02,4.481937437849414785e-02,3.703985001300402757e-02,4.967769579224068366e-03,8.561801528584322973e-02
1.835472802576141316e-01,1.564941405810560404e-02,2.267044001044560275e-02,2.619292066573852829e-02,2.934900334488865781e-02,2.996047695006609501e-03,6.582688667533775906e-02
1.017694594585252243e-01,6.403170208280317688e-02,1.565624872485571473e-03,2.198483224295233462e-02,2.423081032381668720e-02,2.794297869320416794e-02,4.077028311767860735e-02
3.036411170531645443e-01,5.948160917983669194e-03,1.138288970210332707e-02,2.406572180016808282e-02,4.549590353940224929e-02,4.047473754184238715e-03,8.739781019100578696e-02
9.021569373794835478e-02,9.504400245639277323e-02,7.727932448771568374e-03,6.086444177834660074e-02,7.823402739024487573e-04,3.663452903046504616e-02,8.575272179909521064e-02
1.350517433943430046e-01,3.954968736927599871e-02,1.279275710075644668e-02,4.190658620113407729e-02,2.733436611131701000e-02,1.808730976827632730e-02,1.042003615562079322e-01
1.818657138186408062e-03,1.945099875506417497e-02,1.303355989435495133e-02,3.226136143378011134e-02,9.700364913935999311e-04,4.264561843621095250e-02,3.577541329006428406e-02
2.088375340506465339e-01,2.107462947229765682e-02,4.753988496119809781e-02,9.082054772060943471e-02,2.860871356852934255e-02,4.561098960371623434e-02,5.604576330169508402e-02
4.162073631533091955e-03,2.480349649396162981e-02,9.833982181392642019e-03,5.482529844978256683e-02,3.471461410719944851e-02,6.248077501624038632e-03,4.805873994966503027e-02
2.057011372686783357e-01,3.371558404318153457e-02,6.591489119076143766e-03,1.065382944215798044e-01,2.193603122640475078e-02,4.762085846513741672e-02,3.548215840281243594e-02
1.573722550120650876e-01,2.529225463938433727e-02,3.362487745020459329e-03,6.273721994044234584e-02,3.094229412559634795e-02,2.639023777527427228e-02,4.469226921143687470e-02
2.897436964206330234e-01,3.492436638332452326e-02,1.660745482112879756e-02,6.529783578524228638e-02,2.291235542421299343e-02,6.876310532447860169e-03,5.703674323156215920e-03
1.480119404807014316e-01,1.472673404699054167e-02,7.839989194307506182e-03,1.497325935465723123e-01,3.587755930132807691e-02,4.210083191802027613e-02,4.069945876661318351e-04
4.399848508816650572e-02,5.487642755390953475e-02,6.481003131424856178e-03,8.727523497786826567e-05,2.167615494420438438e-02,3.817399797924281302e-03,1.427363117058022546e-02
2.752607196880234586e-01,1.259407960269487425e-02,2.512146744352961036e-03,2.624298857331797130e-02,5.348056607973106225e-03,1.324741203555390712e-02,3.858019783821808879e-02
6.128478780803781056e-02,7.624350316014516515e-02,1.553457108727407388e-02,4.586671927209517996e-02,5.404622591326013747e-03,2.310546514655698047e-02,1.056243517511856744e-02
1.403765845747695362e-01,2.276514362125281465e-03,5.529712887407001176e-03,7.242059168499959121e-02,3.703150536174071306e-02,8.767526400191627545e-03,2.636243629568713054e-02
9.875823244550807622e-02,2.008161597196322923e-02,1.775820326727561849e-02,5.885338082388869019e-02,6.297523650875547219e-04,1.757113348298844357e-02,5.769421760335835536e-02
1.039092664610470340e-01,3.899613078622832241e-02,2.993900992563958141e-02,5.537524602959420505e-03,4.405648625803948448e-03,6.254641960617846053e-02,8.907010635342138549e-02
1.014490248500117264e-01,4.722199815937488943e-02,1.245577343595805075e-02,2.192114642549625181e-02,4.307953095215433237e-02,5.651562092887729705e-02,6.447484280131932088e-02
3.585339019933853066e-03,6.689642787381044897e-03,6.077607262269957289e-02,3.947590849743343178e-02,2.445492381488856282e-02,9.649118937943512719e-03,4.593660397334864420e-02
6.263781340573015832e-02,2.147040436078628822e-02,7.739384956707162644e-02,5.526926194623915656e-02,7.158191449660122885e-03,4.430620403761054149e-02,2.204881257751756252e-03
1.102399957466082547e-02,4.794874949872718339e-02,5.675148237996197054e-03,6.209865076175491438e-03,4.330009153848290993e-03,2.188953024818829363e-02,1.247455240745742877e-02
6.716967429754250318e-03,5.389414289091365440e-02,5.333502788189825594e-02,1.724575753196488925e-02,1.606312644065432949e-02,1.286713435655428839e-02,1.106073006484353805e-02
4.857254607350180997e-02,5.468514103268207194e-03,3.619034581489977143e-02,2.867247418398144454e-02,3.375617130495678353e-02,3.639428254695076248e-02,3.031184052931101824e-02
9.710003103018016724e-02,4.159293483575043915e-02,1.951058003257166718e-02,6.606485649489335366e-02,3.253189175532433808e-02,2.132980283059282556e-02,4.201426726399448697e-03
1.885414348292924203e-03,3.829811590139398092e-03,3.094036807723732352e-02,9.981777876196251675e-02,9.532303170006972692e-03,1.937659812489300748e-02,1.312424311295701251e-02
2.098136198298459210e-01,4.426799161216155021e-02,3.196795227566262554e-02,4.905845722025703459e-02,5.594048512441185395e-02,2.526967031991489421e-02,3.601481362126635055e-02
1.018054606682594621e-01,1.581349748370297625e-02,3.058750853810288106e-02,5.039229713236670349e-03,1.939687305628190472e-02,1.270858598255131255e-02,1.332451474327744911e-02
3.024213674570772614e-01,3.901997264698064960e-02,6.867241275612556706e-03,1.049163606838476870e-01,4.777044042954425862e-03,1.160780727161636605e-03,4.319443937122580124e-03
2.046997791170801495e-01,1.160225819539806302e-02,8.424114782739522411e-03,5.092169863805229291e-02,3.204909407508971242e-02,4.064163056710867750e-03,2.862026050893251572e-02
1.180339000265662186e-02,3.389929259258961380e-03,6.340344567760602956e-02,4.832362302262338538e-02,1.549634463720162003e-02,2.687303545550889794e-02,4.745294631719576550e-02
1.877475008663620493e-02,3.247180559135398603e-02,4.388173009360052390e-02,5.287553912670550638e-02,4.771083577766344064e-03,8.744876632476916711e-03,2.830316376092700814e-02
5.728674617847606676e-02,1.224479634267328088e-02,4.623253756377998513e-02,7.436301612974038910e-02,4.453269236500867478e-02,1.255591860086724409e-03,6.661906756039615018e-03
2.294357096476209446e-01,1.269962424783388499e-03,4.462082777692266689e-02,3.228093980884572112e-02,3.421989549658910335e-02,1.144727207588402962e-03,4.961000360720779767e-03
3.539133493796975394e-02,2.266607367751549695e-02,6.350834986491626921e-02,2.262737039022755248e-02,2.969471032579695802e-02,2.991835632940365031e-03,5.411197802532163870e-02
3.989036558751661854e-01,2.172151057812965469e-02,9.187867755004575088e-03,4.376744343285321470e-02,6.315503218806606256e-02,1.404015390556878629e-02,4.027177785859614723e-02
2.231841353397527872e-01,2.139726127189800486e-02,6.410439638372444904e-02,2.240394410573043338e-02,5.927834562973721688e-02,4.521219474619897483e-02,5.951215948572285974e-02
1.915748347729253620e-01,7.914689016456977200e-03,8.827042229453851974e-03,3.793861336537251994e-02,9.384810874601967612e-05,3.751914153724555945e-04,7.770230714671133576e-02
3.424435070089699717e-01,2.013645225169358177e-02,2.663214383929179974e-02,3.035162838751914727e-02,2.879295037877405150e-02,5.057176557045295340e-03,8.356263651963380390e-02
3.692348443549688941e-01,4.653547879132302612e-03,6.049465451807733984e-03,5.479668821688066238e-02,1.085195016264783874e-02,4.497735241778855197e-02,7.196476335666335267e-02
1.340406100798368083e-01,3.838156241402712610e-03,1.430351764426340822e-02,6.572948566184733110e-03,6.146583635376368093e-02,7.959923103641131092e-03,1.015203260382862016e-01
1.391060518152775760e-01,1.337145048483590060e-03,7.221382665378150989e-02,4.985784676203519616e-02,3.565223034284414894e-03,2.320377308572574293e-02,8.687427097813249510e-02
2.325468340571925641e-01,3.806868240296279460e-02,4.856746915962339983e-02,2.727368623827164384e-04,1.699838186459823319e-02,3.641518391154363599e-02,7.799079366181493889e-02
1.523513975562325040e-01,3.626266145097400972e-02,2.729576099639707820e-02,4.480337228254227533e-02,6.887761637920997160e-02,7.924716622596861271e-03,5.376746313744962258e-02
3.182654760200358535e-01,3.310059025738665284e-03,1.309703534245088008e-03,1.514817867222206793e-02,1.919356275743533402e-02,4.196676118772302289e-02,6.700327213410450788e-02
2.189679406843108023e-01,2.767124692887290571e-02,6.555479494565652487e-02,6.454681717154486797e-02,2.735582378599410447e-02,1.677592795402915726e-03,4.551341094499528062e-02
2.431206993008501183e-01,6.440069928925540310e-03,6.771486752981736856e-02,3.868912709260796667e-02,4.218784536001685126e-02,1.341255665769836014e-02,1.786246232189148131e-03
1.915414561678707717e-01,1.064977585834259166e-02,1.529862081357080683e-03,4.962181234058715695e-02,6.323726323329115218e-03,1.962336138367959393e-02,2.822806189955628930e-02
2.239458827907905292e-01,5.100408395413791318e-02,8.565595189368835349e-03,1.308466562410814937e-02,2.252373309395006018e-02,2.027185999614289358e-02,7.770945970493747801e-02
2.605076146730922471e-01,4.325428711659395908e-02,3.841083647913201560e-02,1.256610515274592110e-02,9.667547293842559952e-03,3.876177931965685275e-02,5.013038727968299746e-02
9.644557195253056214e-02,1.705250756338005935e-02,1.407544920923164966e-02,4.548337020044601609e-02,7.660717100948843949e-03,1.970974839247219279e-02,3.998090715741642320e-02
3.413153101581634097e-02,2.643623854190235711e-02,1.365740321787534128e-02,3.102685793327286667e-02,1.850455635606707006e-03,1.671759486805513006e-02,1.997043342798732191e-02
2.509014905573720977e-01,3.880646177163216137e-03,5.280893618746240747e-02,1.245762468632283237e-02,5.349723200788369937e-02,1.999227444238727003e-02,6.668855957217423303e-02
2.546663587887703084e-01,6.858030370075351989e-02,3.768842809833650165e-02,4.262184202370389308e-02,1.755032094101460771e-02,9.678921263883921711e-03,5.758812132301094344e-02
2.362506671250665935e-01,5.197142304285362613e-03,9.147566595558664915e-02,5.024646909229857350e-02,1.517144084851729247e-02,7.605235688515676884e-03,5.318810592116851588e-02
2.247662812192763315e-01,3.227804606143136468e-03,1.356680414701649795e-02,4.780437534468506833e-02,2.330509164417371437e-02,2.296058610605200556e-02,9.579231899254092575e-02
1.311628974870331366e-01,1.815876990228804111e-02,3.765504949328324358e-02,2.262856248326561293e-02,2.603260051423994526e-02,2.378853445711115455e-02,7.925441228168916830e-02
2.078278312477850331e-01,1.111426672941928651e-02,2.186220093094171091e-02,7.229115843036360012e-02,1.834002414250157642e-02,1.152960596834873286e-02,4.683782630978572392e-02
2.695846878987295803e-02,3.571894080420578987e-03,7.929724348329791894e-02,2.357100318955684948e-02,1.217690313802544111e-02,4.059950994644623279e-03,8.216550347954654221e-02
1.821847179156195207e-01,9.961512762044266722e-03,7.979169562606358568e-04,2.998088745282001533e-02,7.515994668744818696e-02,2.611605637662250956e-02,9.958079066608527263e-02
2.121520295324441641e-02,1.722416896079681514e-02,1.165788452894567229e-02,1.436854982562141281e-02,6.568995959662382589e-02,1.144679523866898307e-02,9.246995569670279913e-02
2.022814991809673835e-02,4.436586946286125155e-03,3.084351402408813669e-03,4.698659952088113378e-02,5.264369339294994177e-02,6.841104051403590347e-03,8.519461188812971209e-02
3.387718604531115840e-01,3.465256917074799325e-02,1.662891249580589204e-02,2.753987360125664807e-03,2.918449450569760018e-02,1.269849292816616071e-02,8.863260820861529332e-02
1.235981134889254651e-01,4.661641489626577872e-02,2.403099683121290298e-02,4.321908063554968926e-02,3.893289375673925079e-02,2.808889088100841036e-03,1.204257295218449375e-01
1.610350800794457804e-02,1.087823230797124729e-02,4.620950913121824044e-02,1.074289001176720326e-02,2.076181958435263653e-02,4.430135619259090163e-03,1.058762339977368239e-01
9.817601420592625416e-03,2.413592439289646840e-02,1.531432839241730903e-03,3.117059630436158635e-02,3.124389366411328695e-02,5.388109531574514222e-02,1.314943133761123928e-01
2.459328467765871107e-01,1.412549374243821099e-02,5.609204456080263412e-03,2.196763805396328983e-02,5.018440545634783589e-02,8.235296595330510172e-03,1.164787094742967266e-01
2.396862792594787184e-01,4.614196186729446758e-02,1.096170219497771825e-02,5.246018586315215337e-02,2.882567450137552001e-02,3.864853048108329858e-02,9.854247763032231155e-02
2.267670901735940880e-02,4.634896064224602874e-02,4.068773418097926253e-02,5.059148886663300537e-02,3.272262664134251153e-02,3.000172336916762106e-02,9.436299944043802235e-02
2.658694107376857740e-01,4.798970607559982504e-02,3.956635329742930196e-02,2.544190205204022170e-02,6.459561818809200773e-02,5.856435202332477274e-03,1.025347972132981678e-01
1.383645699458788680e-01,3.892102892485849175e-02,6.472905313543542150e-02,5.857692743615805497e-03,2.020207346725833020e-02,4.692348403813184632e-02,7.125427590624400231e-02
3.094506632626603526e-02,3.738246222688945686e-02,2.056677446389976183e-02,6.110286038587031676e-02,9.068555603994887804e-04,3.912298351005460972e-02,8.888175565347844476e-02
1.700396740483840485e-01,7.947603406456704711e-02,1.147191801507752018e-02,8.746639060222660689e-03,5.548206691551493819e-02,5.013911527066738927e-02,7.086922985509436224e-02
1.562969870921369075e-01,5.788527038085322651e-02,4.044373377311494266e-02,2.709533509521411254e-02,3.598896156441222516e-02,1.212040727779140070e-03,9.033849334544608034e-02
1.233847288351925808e-01,3.974238102777616355e-02,4.213650588653017337e-02,1.307751306588289530e-02,1.830133955471247020e-02,1.117142174697960399e-02,9.335091245150217709e-02
5.544019406320965793e-02,1.288571698331719695e-02,3.698666396402749967e-02,3.573204915274508231e-02,2.802101170098447724e-02,3.357323410986623458e-02,9.160449615139376611e-02
3.144319432296696082e-01,4.369893781962486123e-02,4.495938219960571303e-02,3.149654259009371238e-02,5.631120268473566171e-03,4.999312360999397242e-02,7.754614295878359265e-02
1.213841582994639179e-01,4.427395207734963201e-02,1.993816276822890643e-02,9.425070427629456127e-02,4.770365984506774737e-02,1.810105857464350265e-02,7.471969036659564800e-02
2.574820825436219263e-01,1.098075230920625422e-02,7.745822259110290986e-02,7.575418870463912491e-02,2.029744091026763897e-02,1.665266553393962567e-02,6.181766742047334340e-02
2.385132597104602237e-01,9.810116946266989046e-03,3.563959883152101327e-02,5.266811493815937162e-02,3.420386067651515205e-02,4.770668916384579461e-02,1.077990800674124561e-01
6.018472435292232525e-02,1.508555405131306593e-02,2.123196237888969051e-02,8.585479301236209615e-02,1.574722178568599418e-02,7.804903325029499683e-02,8.429219745865501601e-02
2.535014454724129340e-01,2.568206906268488687e-02,3.354948107173250094e-02,5.187775725422016926e-02,1.147476033886940527e-02,1.192959291890360873e-02,9.488275200483831107e-02
2.398331451217095012e-01,8.069661111347103954e-03,3.266413460963057958e-02,8.947637166064104086e-02,2.895203636336241004e-02,3.746184159857079976e-02,4.438449883837125576e-02
3.548210090185415222e-01,2.131619894534009241e-02,5.816062049816927981e-02,1.045559558970254876e-02,5.819050229697886323e-02,5.786809021648764428e-02,6.458093908166895325e-02
1.740105359566841425e-01,1.084647120954929100e-02,3.074567824725882303e-02,2.472545413643323364e-02,2.632531779090818702e-02,2.431543957973758552e-02,7.838895273637835892e-02
1.437168292661710201e-01,6.437685742850307591e-03,9.085347753769568158e-03,2.211068921847680890e-02,3.828493275486088976e-02,1.107128593181982978e-02,5.656172921762281369e-02
4.147823351362147637e-01,1.910116385983373632e-03,3.873427235717308292e-02,5.360459517926252637e-02,3.555927046028495297e-02,4.950555755760888132e-02,4.180719369104468619e-02
1.658480365095191811e-01,1.791396541598300196e-02,2.035458190320404981e-02,2.420519668556830872e-02,3.371867881020484958e-02,2.764670383692191535e-02,1.886297899604394424e-02
4.291589771698680611e-01,1.379766815709371208e-02,1.459758595970761519e-02,4.033790396061887051e-03,4.935536318461863914e-02,1.852242372700629858e-02,2.117648096646940203e-03
3.323393264221345955e-01,1.857915333097293065e-02,3.426950526645278217e-02,6.393408135020961502e-02,1.941054706465994428e-03,1.146825291334607755e-02,2.270236005461390150e-03
1.996417283584757119e-01,5.931471615457040159e-03,1.961071584773144139e-02,2.826427347865156925e-02,3.586921465006476240e-02,2.724560426619859754e-02,5.342470132757126677e-03
2.820937969796408762e-01,3.169456093082811954e-02,2.324659961246133832e-02,4.975294257472451243e-02,2.916724421821115243e-03,1.970847682656540201e-03,3.351639698378261478e-02
