ch1,ch2,ch3,ch4,ch5,ch6,ch7
1.278428587726186283e+00,1.206195498251378284e+00,1.205942178480884808e+00,1.205512428940824110e+00,1.204984331725160063e+00,1.207769061061031879e+00,1.204737568466373476e+00
1.313249029308441784e+00,1.205374146148460612e+00,1.205473089870582770e+00,1.196697496974169939e+00,1.205544615452839752e+00,1.207947875016674333e+00,1.205690050803428948e+00
1.278989467500384780e+00,1.202861214025165326e+00,1.204602861953122828e+00,1.192314170874854362e+00,1.206070924528947375e+00,1.208474780139300764e+00,1.206221724298205844e+00
1.311363734169451511e+00,1.204628491953431579e+00,1.200334572831937452e+00,1.195953034872178522e+00,1.205624485686360048e+00,1.208279276881131681e+00,1.205539251034170478e+00
1.279946122163071909e+00,1.205796743130295612e+00,1.206340933601967480e+00,1.196081780920241089e+00,1.204933667771061367e+00,1.208290601764989036e+00,1.203225398448157124e+00
1.310710467184837746e+00,1.205405736613957446e+00,1.205768728943911627e+00,1.196729087439666772e+00,1.205584550569599900e+00,1.208394313859261660e+00,1.205585742662637516e+00
1.281301531946841710e+00,1.204798961257810719e+00,1.204593325208821897e+00,1.196414374877736053e+00,1.206005955458397283e+00,1.208241129903927957e+00,1.206243778019401747e+00
1.309192336701433312e+00,1.205342555682963779e+00,1.205374742194979421e+00,1.192717694368087500e+00,1.205615544988577925e+00,1.208318615951373021e+00,1.205684686384759674e+00
1.282291565214582096e+00,1.206129933134309384e+00,1.204569483348069570e+00,1.196692132555500665e+00,1.205033207539702333e+00,1.208325768509598719e+00,1.204565907068956720e+00
1.306021369221373796e+00,1.205184007308960803e+00,1.205476070103176811e+00,1.191043995743274131e+00,1.205547595685433793e+00,1.208554054326302252e+00,1.205513621033861726e+00
1.284061227328923582e+00,1.204538488929091544e+00,1.204445505672157468e+00,1.196112179292700306e+00,1.206143046157723164e+00,1.208056951529616230e+00,1.206015492202698214e+00
1.304192698501670078e+00,1.204756045908456530e+00,1.205322290101324301e+00,1.193411492515980221e+00,1.205496931731335097e+00,1.198941016070963927e+00,1.205528522196831931e+00
1.286024604561877727e+00,1.206292057787425209e+00,1.206287289415274744e+00,1.205262089402924675e+00,1.204913402189421889e+00,1.200044298177277868e+00,1.204576039859776460e+00
1.302526748481601215e+00,1.205865288479958553e+00,1.205458188707612566e+00,1.205488587080071783e+00,1.205077314982094139e+00,1.208750749677508951e+00,1.205628061965472897e+00
1.287825261095197238e+00,1.204641008930326551e+00,1.204744721024599174e+00,1.205352688473783518e+00,1.205969000574231176e+00,1.208272720369424791e+00,1.205691242896466564e+00
1.300445354037923051e+00,1.204829955676788744e+00,1.205302620566203631e+00,1.205467725451913497e+00,1.205355668706377559e+00,1.207958007807494072e+00,1.205443287544642361e+00
1.250762492509185364e+00,1.206420207788968968e+00,1.205883169875522798e+00,1.205715680803737699e+00,1.205067182191274400e+00,1.208446169906397971e+00,1.205552960104103066e+00
1.298194086336384556e+00,1.206195498251378284e+00,1.205331230799106423e+00,1.205379510567129886e+00,1.205456996614574949e+00,1.208714390839861652e+00,1.205897474991974194e+00
1.291114841832499804e+00,1.203599119615449853e+00,1.202156687039934058e+00,1.205232883123503074e+00,1.205514813126899343e+00,1.207733298269903388e+00,1.205508256615192453e+00
1.295553004211545511e+00,1.205690646849947756e+00,1.205554152197140683e+00,1.205455208475018525e+00,1.205349708241189477e+00,1.208017612459374890e+00,1.204806709862555225e+00
1.292883311853803674e+00,1.198558354205889076e+00,1.205538058941132862e+00,1.205880785689447565e+00,1.205390835450987241e+00,1.208343649905162964e+00,1.205530310336388355e+00
1.292914902319300507e+00,1.205787802432513489e+00,1.205182815215923187e+00,1.205617333128134350e+00,1.205379510567129886e+00,1.208709026421192378e+00,1.205849791270469540e+00
1.295441543512528382e+00,1.202954793328618210e+00,1.205235267309578306e+00,1.205145860331757079e+00,1.205491567312665824e+00,1.208287621532394995e+00,1.205569053360110887e+00
1.291108285320792914e+00,1.205420041730408842e+00,1.204762006373644612e+00,1.205498123824372714e+00,1.205344343822520203e+00,1.208023572924562972e+00,1.205321694054805493e+00
1.297516381444499656e+00,1.206233645228582008e+00,1.205448055916792827e+00,1.205597067546494872e+00,1.205580974290487051e+00,1.208472395953225531e+00,1.205593491267382023e+00
1.327360430641225664e+00,1.205654884058819265e+00,1.205158377308652051e+00,1.205284739170639385e+00,1.205606008244276994e+00,1.208554650372821060e+00,1.205876017317297100e+00
1.299086964021559210e+00,1.202887440071992886e+00,1.205515409173418151e+00,1.204782868001802898e+00,1.205589914988269173e+00,1.208256031066898162e+00,1.205313945450060986e+00
1.286815558292336181e+00,1.205370569869347763e+00,1.205746675222715725e+00,1.205506468475636028e+00,1.205440903358567128e+00,1.207153941053621837e+00,1.205318713822211452e+00
