ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
9.079956302637613774e+00,1.983324650922376122e+02,3.077095380675241927e+02,3.078904662001688735e+02,3.078039405112195936e+02,3.080225006368756908e+02,3.077831438521318432e+02,3.070435085348497068e+02
9.080879578695247645e+00,1.982749150127070834e+02,3.077215412523199234e+02,3.078914431204132143e+02,3.078044590716909283e+02,3.080173090716969000e+02,3.077732459036404862e+02,3.070419510652960753e+02
9.081184754512877433e+00,1.983024928930393287e+02,3.077011546732371698e+02,3.078793570851513550e+02,3.078134873883112732e+02,3.080100367081208788e+02,3.077668270786793983e+02,3.070046397453116924e+02
9.080788383577869993e+00,1.982808570004530964e+02,3.077047804242110942e+02,3.078898147213237735e+02,3.077877691731177947e+02,3.080152622479512843e+02,3.077748170822641214e+02,3.070304127967849581e+02
9.081737289635812616e+00,1.982965461369211653e+02,3.076863256318957838e+02,3.079086730371324165e+02,3.078234681872687588e+02,3.079882053122764773e+02,3.077637556509680508e+02,3.070458176190635413e+02
9.081377277538452475e+00,1.982656411249209611e+02,3.077138504640877272e+02,3.078832892040359184e+02,3.078052059179789808e+02,3.080021581652353007e+02,3.077522787752483850e+02,3.070547517603339429e+02
9.081202635908441678e+00,1.983198247337132329e+02,3.077149322885194351e+02,3.078606757951588406e+02,3.078331914941300624e+02,3.080111244930177463e+02,3.077762779922816776e+02,3.070579102108371217e+02
9.081198463582810021e+00,1.982596657585699234e+02,3.077113643540578209e+02,3.078630128935590733e+02,3.078230372456356463e+02,3.079932723037328515e+02,3.077457651788908493e+02,3.070370467945392647e+02
9.080549368923827913e+00,1.983109358919782323e+02,3.077240082888613415e+02,3.078761366458101634e+02,3.078128335252802117e+02,3.079864207489991941e+02,3.077479282317076468e+02,3.070339396040367319e+02
9.082205186153077037e+00,1.982942459934050987e+02,3.077023872974380652e+02,3.078658387501047855e+02,3.078615305258667831e+02,3.079908261288196627e+02,3.077441987686394214e+02,3.070858379704759500e+02
9.081948290103470711e+00,1.982762269110949944e+02,3.077621284439717328e+02,3.078827748158901159e+02,3.078473607119751705e+02,3.079647365766449525e+02,3.077633598760795621e+02,3.070263930590621158e+02
9.081748614519669971e+00,1.982624457195336447e+02,3.077491072117218209e+02,3.078733095971714988e+02,3.077970108743919013e+02,3.079616955473060216e+02,3.077713594164084725e+02,3.070803907013404910e+02
